TerminalAerea	19.433734	-99.087667	1981
Tezozomoc	19.495116	-99.196286	1983
Tlatelolco	19.454979	-99.142814	1970
UAMI	19.351234	-99.074707	1994
Universidad	19.324427	-99.17397	1983
ValleGomez	19.458742	-99.119296	1982
Vallejo	19.490625	-99.15586	1983
Velodromo	19.408478	-99.103074	1987
Viaducto	19.400808	-99.136891	1970
VilladeAragon	19.461656	-99.061704	1999
VilladeCortes	19.38753	-99.138994	1970
ViverosDerechosHumanos	19.353724	-99.176052	1983
Xola	19.3952	-99.1377	1970
Zapata	19.370952	-99.164937	1980
Zaragoza	19.412344	-99.08241	1969
Zocalo	19.433248	-99.1329	1970
