79	16
79	78
62	4
62	55
62	61
62	107
147	87
147	162
112	81
93	37
93	94
22	10
22	23
22	32
22	98
29	50
29	110
74	1
74	103
123	124
123	125
78	15
78	64
78	79
78	125
124	123
150	18
150	19
150	54
150	140
5	7
5	158
149	12
149	21
149	30
149	71
149	144
122	23
122	97
148	9
148	157
87	65
87	147
71	49
71	149
127	8
127	51
157	36
157	148
3	9
83	60
83	141
67	44
67	84
61	28
61	62
137	133
137	158
146	76
146	95
76	140
76	146
70	50
70	63
77	82
77	129
88	86
88	89
10	22
10	66
163	36
163	52
158	5
158	137
135	91
135	100
140	39
140	76
140	120
140	150
38	21
38	39
9	3
9	148
114	6
114	52
28	16
28	61
98	22
98	54
45	86
45	133
120	119
120	140
97	81
97	122
15	78
15	132
4	13
4	62
18	116
18	150
49	2
49	71
39	19
39	38
39	89
39	140
1	74
1	128
52	100
52	114
52	161
52	163
32	22
32	31
32	66
32	130
13	4
13	65
13	94
69	108
64	60
64	78
66	10
66	20
66	32
66	155
26	40
26	109
31	32
31	33
160	14
160	33
23	22
23	122
117	103
117	118
100	52
100	135
20	34
20	66
119	120
119	130
47	8
47	109
125	78
125	123
7	5
7	48
115	103
115	107
116	11
116	18
73	51
73	82
36	157
36	163
110	29
110	111
155	50
155	66
12	91
12	149
44	67
96	48
128	1
128	63
95	144
95	146
111	40
111	110
65	13
65	87
109	26
109	47
136	106
136	162
34	20
34	35
33	31
33	160
144	95
144	149
63	70
63	128
51	73
51	127
54	98
54	150
37	93
89	39
89	88
91	12
91	135
84	11
84	67
35	34
35	80
35	103
35	156
2	49
2	156
80	35
80	46
40	26
40	111
48	7
48	96
132	15
132	107
81	97
81	112
60	64
60	83
129	77
107	46
107	62
107	115
107	132
118	103
118	117
55	53
55	62
8	47
8	127
133	45
133	137
21	38
21	149
46	80
46	107
50	29
50	70
50	108
50	155
161	52
161	162
141	83
141	106
162	30
162	136
162	147
162	161
106	136
106	141
108	50
108	69
103	35
103	74
103	115
103	117
103	118
94	13
94	93
156	2
156	14
156	35
156	53
53	55
53	156
6	114
11	84
11	116
14	156
14	160
82	73
82	77
130	32
130	119
16	28
16	79
19	39
19	150
30	149
30	162
86	45
86	88
