56	18
56	116
56	137
56	147
109	112
109	148
42	78
42	91
144	52
144	87
167	59
167	99
167	153
167	172
73	48
73	145
128	20
128	53
113	20
113	27
94	102
94	138
157	12
157	41
72	3
72	87
131	34
131	35
10	118
10	155
80	18
134	44
134	159
12	127
12	157
137	56
137	75
122	138
122	161
20	113
20	128
52	144
52	145
54	63
54	93
69	98
69	116
156	136
32	28
32	172
5	19
105	60
105	132
29	136
29	140
86	34
86	82
39	37
39	102
159	134
59	33
59	167
148	109
53	33
53	128
116	56
116	69
146	133
146	160
61	118
48	73
48	88
48	91
48	115
93	54
93	75
130	100
79	2
79	132
28	32
28	142
160	35
160	146
118	10
118	61
102	39
102	94
45	98
66	142
66	149
138	94
138	122
112	88
112	109
126	3
126	140
140	29
140	126
19	5
19	60
3	63
3	72
3	126
3	133
3	162
139	81
139	121
92	114
92	145
44	75
44	134
96	100
96	149
115	48
115	75
81	139
81	161
155	10
155	99
150	27
91	42
91	48
78	42
78	99
147	43
147	56
161	81
161	122
132	79
132	105
99	23
99	78
99	155
99	167
87	72
87	144
100	96
100	130
88	43
88	48
88	112
88	124
34	86
34	131
127	12
127	162
41	157
2	79
2	121
172	32
172	167
133	3
133	146
60	19
60	105
63	3
63	54
98	45
98	69
37	39
37	145
35	131
35	160
18	56
18	80
145	37
145	52
145	73
145	92
43	88
43	147
153	167
136	29
136	156
33	53
33	59
124	88
82	38
82	86
121	2
121	139
75	44
75	93
75	115
75	137
23	99
23	114
149	66
149	96
114	23
114	92
162	3
162	127
142	28
142	66
38	82
27	113
27	150
