188	12
188	91
264	88
264	327
100	15
100	164
189	34
189	180
189	272
289	2
289	58
289	118
289	122
289	270
229	154
229	163
150	242
150	296
153	92
153	213
153	305
193	14
193	15
193	180
193	211
225	128
225	308
180	3
180	4
180	14
180	189
180	193
52	7
52	56
52	59
170	187
170	231
248	81
248	110
248	142
248	172
215	19
215	91
215	240
215	304
212	31
212	147
240	215
240	319
273	62
273	213
110	122
110	248
269	14
269	54
29	187
29	214
305	14
305	95
305	153
305	169
83	18
83	108
83	137
83	156
83	310
83	316
323	4
323	272
42	143
42	164
81	82
81	248
164	8
164	42
164	97
164	98
164	100
164	245
149	115
149	167
137	83
137	108
137	209
156	83
327	264
327	326
8	164
8	211
312	37
312	222
86	16
86	295
325	126
325	154
54	141
54	269
298	251
298	267
184	163
184	304
26	186
26	279
181	14
181	30
173	55
173	67
173	219
173	283
146	147
146	148
37	34
37	312
108	83
108	137
108	257
159	129
159	203
204	31
204	254
111	283
111	303
270	232
270	289
157	45
157	288
235	12
235	214
129	159
19	209
19	215
256	233
256	276
154	229
154	325
59	52
59	237
126	274
126	325
304	184
304	215
9	288
187	29
187	170
195	45
195	97
192	207
192	237
115	149
115	219
245	141
245	164
74	16
74	145
214	29
214	219
214	235
214	283
11	104
11	143
228	88
228	217
97	45
97	164
97	195
97	303
186	26
186	49
55	95
55	173
55	219
244	89
244	242
251	257
251	298
2	58
2	82
2	254
2	289
217	105
217	228
236	160
222	295
222	312
202	128
202	221
326	327
62	60
62	273
231	170
231	209
279	26
279	95
314	128
314	233
31	204
31	212
105	217
105	310
3	180
3	287
88	228
88	264
169	92
169	305
34	37
34	189
200	82
200	216
114	12
114	98
98	114
98	164
207	192
207	221
142	209
142	248
58	2
58	289
277	6
277	276
118	160
118	289
91	12
91	188
91	215
272	189
272	323
147	146
147	212
122	18
122	110
122	289
211	8
211	193
203	159
203	307
89	233
89	244
288	9
288	157
102	12
102	308
143	11
143	42
310	83
310	105
303	97
303	111
12	91
12	102
12	114
12	188
12	235
172	168
172	248
53	23
53	45
232	18
232	270
67	141
67	173
56	52
287	3
287	4
287	191
219	55
219	115
219	173
219	214
209	19
209	137
209	142
209	231
109	123
213	153
213	273
15	100
15	193
30	92
30	181
45	53
45	97
45	157
45	195
237	59
237	192
221	202
221	207
321	95
321	267
23	53
23	123
168	172
168	319
141	54
141	67
141	245
141	283
167	149
167	257
274	126
274	307
254	2
254	204
267	298
267	321
276	256
276	277
145	74
145	291
123	23
123	109
60	62
6	216
6	277
163	184
163	229
242	150
242	244
14	180
14	181
14	193
14	269
14	305
92	30
92	153
92	169
291	145
316	18
316	83
4	180
4	287
4	323
82	2
82	81
82	200
283	111
283	141
283	173
283	214
233	89
233	256
233	314
7	52
95	55
95	279
95	305
95	321
191	49
191	287
216	6
216	200
160	118
160	236
16	74
16	86
148	146
308	102
308	225
18	83
18	122
18	232
18	316
319	168
319	240
104	11
295	86
295	222
296	150
307	203
307	274
128	202
128	225
128	314
257	108
257	167
257	251
49	186
49	191
